sentence	label
Kecelakaan di #Toljago KM32 mobil ertiga hitam kecoklatan penumpang terlihat 2. 1cowo baju merah sadar 1cewe ga sadar. via: @skylersaurusrex	0
Antara #tekno | Laba smartphone Apple tembus rekor 88,7 persen http://bit.ly/1wwDVHg  | http://goo.gl/16Qox 	1
Harga terjangkau tempat strategis,pas dapat kamar bau asap rokok dan pintu kamar mandi rusak	0
My name is Hodijah, No movie  No modelling  No dangdut  No raisa96  No raisa90  No agnezmonica  No ayutingting  No syahrini  No yoona	0
tv ndak ada sinyal	0
pemandangannya bagus, hanya kurang tidak ada pemanas air di kamar mandi jadi yg bawa bayi sepertivsaya aga kesulitan karna air di sana terlalu dingin untuk bayi 	0
lokasi strategis.. sarung bantal dan sprei bau.. handuk lusuh	0
nyaman, ramah, tidak bising, sarapan enak, gelas bekas lipstik orang .. #saya ga pake lipstik	0
"dikirimin booklet dari insya Allah calon sekolah :"""	1
Amber f(x) Menikmati Makan Malam Bersama Sang Ayah dan Berbagi Arti Musik Baginya #koreanindo http://wp.me/peB2r-10Nv 	1
Petinggi PDIP Kota Tarakan di Gerebek Saat Sabung Ayam - Indopos http://goo.gl/fb/ctq9om  #tarakan	0
Dr luar bagus ada kolam renang, balkon yg lgs ke kolam renang. tp pas msk kmr, sy dpt kmr no.6, AC sering mati sendiri, udara yg dikluarkan ac agak bau. aroma bantal jg kurang sedap.	0
SMS dari orang yg disayang itu selalu bisa bikin kamu duduk manis sambil senyum2 sendiri ngeliatin hp. Hihi	1
Malming kali ini ditemenin konser dari afgan capsus klik di http://www.useetv.com/livetv/trans7  @afgannisme @Afganisme__INDO	1
Demokrat niai keputusan presiden beri kepastian: Sekretaris Fraksi Partai Demokrat di DPR RI Didik Mukrianto m... http://bit.ly/17Z0dMC 	1
"RT @SuperMomsky: Bday bash bumil cantik.. Sehat trs yah bumil cantik.. Aamiin @Lady6igi @RaffiAhmadLagi http://twitter.com/SuperMomsky/status/567732054175928320/photo/1pic.twitter.com/wUE5hYa7sa """	1
kebersihan ditingkatkan	0
Kabar Kader PDIP Dukung Interpelasi Dinilai Rugikan Partai: Kader PDIP diminta mendukung keputusan Presiden Jo... http://bit.ly/1AZ7g4t 	0
Bagus tapi tidak dapat air mineral botol	0
Si Sari..si Syahrini..si tante..si cetar..si centil..si reunceum..si riweuh..si nyebelin.. But, i love? http://instagram.com/p/zWguf3LVOx/ 	1
15.21: RT @sally_sandjaja: Sebuah mobil terbakar di dpn appt Mediterania tj.duren-s.parman 	0
"""Sembahlah Ar Rahman, sebarkan salam, dan berilah makan org lain, maka kalian akan masuk surga."" [HR Tirmidzi]"	1
Maklum wanita karier mah malam minggunya di kantor di sibukan dengan cari uang bukan kongkow kongkow ga jelas? ? https://path.com/p/2dYIdG 	1
Hati-hati djalan aa @RaffiAhmadLagi selamat beristirahat.. jaga selalu kesehatan yaaa jgn gampang capek have a nice dream aa with @Lady6igi	1
hotelnya bagus krn masih baru blm bau apek. snang sllu nginap d sini.	1
Poros Muda Golkar Kecam PM Australia http://dlvr.it/8fLG8t 	0
TV gak bisa di pakai  sinyal parabola nya lemah	0
Cari Anggota Baru, Geng Motor Sebar Formulir ke Sekolah http://kom.ps/AFqYLb 	0
Enak kan jadi resellernya Amadeus.. Udah pun dpt baju hrates, dpt duit pun! Rejekinya si Jojol. =)))))	1
Engga tau kenapa tiba2 lagi suka lagu inii?? ? Kamulah Takdirku by Raffi Ahmad & Nagita Slavina ? https://path.com/p/35AyJ6 	1
PDIP Dukung Jokowi Hentikan Pengiriman PRT ke Luar Negeri http://republika.co.id/r/nkela1 	1
Efek film keren lah pokoknya ? Bikin nangiissss ?? ? Untukmu Aku Bertahan by Afgan ? https://path.com/p/3Z9L36 	1
